timestamp,price_psm
1990-01,732.0385188195652
1990-02,743.112600739091
1990-03,741.7367445836363
1990-04,756.473749827174
1990-05,790.2948180381579
1990-06,766.4567558397728
1990-07,788.2801766142858
1990-08,771.0260708209523
1990-09,790.7836186270833
1990-10,767.1921962196969
1990-11,781.8742370586207
1990-12,760.4138428148937
1991-01,795.318958546087
1991-02,775.9327785178082
1991-03,799.1322430649351
1991-04,771.6802522512195
1991-05,771.1860920216216
1991-06,844.6811558360656
1991-07,789.0472812521008
1991-08,801.7242182348215
1991-09,769.1867543977099
1991-10,837.3273847585366
1991-11,778.8871082020135
1991-12,793.691107722549
1992-01,817.9128481733812
1992-02,813.290560925
1992-03,815.172200329078
1992-04,819.5872287309353
1992-05,867.0572775742423
1992-06,825.5113873629371
1992-07,866.5724648734043
1992-08,869.2445390325967
1992-09,895.209060273224
1992-10,895.0270087985848
1992-11,882.6235993743751
1992-12,853.3609171182795
1993-01,914.7993902754838
1993-02,901.4155566718955
1993-03,906.7573442318181
1993-04,892.8871761107438
1993-05,1061.1214797866141
1993-06,1182.279189320115
1993-07,1265.309888525
1993-08,1296.221570424599
1993-09,1427.4643776080002
1993-10,1530.8051973170984
1993-11,1592.401411140945
1993-12,1553.9456384122675
1994-01,1584.2235708065518
1994-02,1604.9407562843417
1994-03,1628.366541852994
1994-04,1670.4761754496
1994-05,1732.0103658083833
1994-06,1707.834256276018
1994-07,1749.574603245614
1994-08,1777.271013128788
1994-09,1828.569173423077
1994-10,1818.164242111675
1994-11,1803.5101199017342
1994-12,1748.6857243417721
1995-01,1764.3577092576418
1995-02,1827.2657126477989
1995-03,1859.3801722197802
1995-04,1896.430762570349
1995-05,2031.0025754708993
1995-06,2037.0487909326923
1995-07,2161.6795011811023
1995-08,2169.9293224609664
1995-09,2183.8048293529414
1995-10,2215.044899027304
1995-11,2339.78771628863
1995-12,2403.791147506775
1996-01,2421.2928819945796
1996-02,2509.845637710714
1996-03,2594.4508959045456
1996-04,2730.5843804858155
1996-05,2821.9313030491803
1996-06,2903.2183582652438
1996-07,3026.9079854844717
1996-08,3073.4429545782746
1996-09,3162.3221136286916
1996-10,3186.8496389016855
1996-11,3224.0943142715514
1996-12,3202.2508798365757
1997-01,3226.766898436019
1997-02,3257.919122875598
1997-03,3209.698760359606
1997-04,3261.825051892857
1997-05,3247.8857205127274
1997-06,3218.6726393586496
1997-07,3220.92564494697
1997-08,3224.880828142857
1997-09,3183.3447239540815
1997-10,3158.2057256088888
1997-11,3091.861742268293
1997-12,2989.8059481105265
1998-01,2951.316377475728
1998-02,2895.4046392956207
1998-03,2824.349353233716
1998-04,2764.428718353147
1998-05,2676.29202660223
1998-06,2605.2126464458597
1998-07,2633.2868625086207
1998-08,2581.4642530257142
1998-09,2557.1115244127423
1998-10,2519.958816731939
1998-11,2471.5125439812646
1998-12,2369.4738008341124
1999-01,2391.190004226601
1999-02,2389.6604941643836
1999-03,2394.301881503676
1999-04,2358.144326094037
1999-05,2390.4501635768374
1999-06,2363.3134693543784
1999-07,2427.317972916318
1999-08,2500.726088202247
1999-09,2571.0808229409836
1999-10,2622.9946053924527
1999-11,2653.142969004329
1999-12,2692.2841883930128
2000-01,2676.525684531915
2000-02,2679.7902446842104
2000-03,2674.5046879846154
2000-04,2678.577501232804
2000-05,2737.843635821138
2000-06,2617.756201904762
2000-07,2603.888171706161
2000-08,2610.4130945502184
2000-09,2632.5309428391306
2000-10,2641.9038508114036
2000-11,2587.4488590472442
2000-12,2584.5047004666667
2001-01,2571.464992705
2001-02,2462.949598990196
2001-03,2506.246636592593
2001-04,2468.5319476328505
2001-05,2467.2401353596492
2001-06,2465.070627789916
2001-07,2423.6624351037735
2001-08,2401.312328889423
2001-09,2377.994862473684
2001-10,2347.618376846774
2001-11,2317.1935534159666
2001-12,2344.252625635294
2002-01,2376.0756461754386
2002-02,2305.560098614525
2002-03,2329.687158790476
2002-04,2314.8866578660713
2002-05,2358.446686460526
2002-06,2358.5320068372093
2002-07,2305.022048519802
2002-08,2344.073796163842
2002-09,2404.64133018239
2002-10,2345.700671073892
2002-11,2380.458188882629
2002-12,2356.295837231579
2003-01,2357.5049697034883
2003-02,2391.475805048
2003-03,2439.590795287582
2003-04,2443.95351235
2003-05,2387.5687624539473
2003-06,2476.19563056
2003-07,2479.9506281454546
2003-08,2477.1844278675494
2003-09,2506.2847661960786
2003-10,2561.118913907104
2003-11,2519.6107302713567
2003-12,2574.0665800185184
2004-01,2550.7705337988505
2004-02,2565.6713212741934
2004-03,2545.829232121951
2004-04,2605.449465473684
2004-05,2608.7157250743244
2004-06,2658.7631519350653
2004-07,2611.9839634107143
2004-08,2620.1989988471337
2004-09,2620.0530714699453
2004-10,2599.4429636507934
2004-11,2607.975750301775
2004-12,2668.6612077120417
2005-01,2609.2963073386245
2005-02,2643.846131931507
2005-03,2622.6627130812185
2005-04,2614.898378361446
2005-05,2561.945858120482
2005-06,2480.6774151005025
2005-07,2494.9823352903227
2005-08,2464.4034604858757
2005-09,2449.688368769737
2005-10,2479.413168660131
2005-11,2454.0861766803278
2005-12,2433.879679624
2006-01,2461.515384171642
2006-02,2445.4062074233575
2006-03,2464.33288224359
2006-04,2465.9961382671754
2006-05,2440.5196077743904
2006-06,2430.140941582888
2006-07,2468.234407921212
2006-08,2496.096992251497
2006-09,2443.44637345625
2006-10,2453.6894459933774
2006-11,2475.747094908451
2006-12,2496.295542584746
2007-01,2522.5419447352942
2007-02,2517.701115589286
2007-03,2515.948635181818
2007-04,2567.288087931624
